Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,1.640000,1.900000,1.500000,1.900000,1.900000,30000
2019-08-21,1.920000,1.920000,1.610000,1.710000,1.710000,25500
2019-08-22,1.670000,1.740000,1.600000,1.740000,1.740000,16100
2019-08-23,1.610000,1.620000,1.550000,1.600000,1.600000,7100
2019-08-26,1.590000,1.780000,1.510000,1.510000,1.510000,6900
2019-08-27,1.560000,1.740000,1.240000,1.550000,1.550000,26600
2019-08-28,1.640000,1.650000,1.250000,1.450000,1.450000,14400
2019-08-29,1.630000,1.630000,1.480000,1.480000,1.480000,4600
2019-08-30,1.750000,2.740000,1.330000,1.490000,1.490000,3251200
2019-09-03,1.460000,1.460000,1.250000,1.260000,1.260000,269000
2019-09-04,1.300000,1.300000,1.020000,1.150000,1.150000,173300
2019-09-05,1.200000,1.210000,1.010000,1.010000,1.010000,69300
2019-09-06,1.020000,1.160000,1.020000,1.100000,1.100000,40300
2019-09-09,1.130000,1.190000,1.020000,1.060000,1.060000,69800
2019-09-10,1.050000,1.130000,1.030000,1.070000,1.070000,81800
2019-09-11,1.090000,1.250000,1.090000,1.180000,1.180000,108900
2019-09-12,1.200000,1.210000,1.080000,1.150000,1.150000,44000
2019-09-13,1.160000,1.180000,1.050000,1.180000,1.180000,34200
2019-09-16,1.160000,1.190000,1.090000,1.180000,1.180000,15300
2019-09-17,1.180000,1.180000,1.090000,1.090000,1.090000,17800
2019-09-18,1.090000,1.160000,1.030000,1.060000,1.060000,29500
2019-09-19,1.010000,1.040000,0.810000,0.850000,0.850000,235700
2019-09-20,0.850000,0.860000,0.770000,0.780000,0.780000,114000
2019-09-23,0.840000,0.840000,0.690000,0.720000,0.720000,153700
2019-09-24,0.740000,0.740000,0.700000,0.700000,0.700000,59300
2019-09-25,0.700000,0.780000,0.700000,0.770000,0.770000,161900
2019-09-26,0.760000,0.790000,0.600000,0.700000,0.700000,161100
2019-09-27,0.690000,0.700000,0.670000,0.670000,0.670000,53700
2019-09-30,0.670000,0.720000,0.650000,0.720000,0.720000,78800
2019-10-01,0.720000,0.720000,0.660000,0.680000,0.680000,30500
2019-10-02,0.690000,0.700000,0.620000,0.620000,0.620000,49300
2019-10-03,0.630000,0.690000,0.630000,0.680000,0.680000,14000
2019-10-04,0.670000,0.690000,0.610000,0.650000,0.650000,59900
2019-10-07,0.660000,0.660000,0.610000,0.640000,0.640000,77200
2019-10-08,0.650000,0.650000,0.610000,0.610000,0.610000,42400
2019-10-09,0.640000,0.640000,0.550000,0.580000,0.580000,84300
2019-10-10,0.570000,0.590000,0.510000,0.570000,0.570000,49900
2019-10-11,0.600000,0.600000,0.570000,0.580000,0.580000,12000
2019-10-14,0.610000,0.610000,0.500000,0.520000,0.520000,150400
2019-10-15,0.510000,0.610000,0.500000,0.550000,0.550000,104900
2019-10-16,1.120000,4.700000,1.050000,2.850000,2.850000,34393600
2019-10-17,2.020000,2.320000,1.290000,1.380000,1.380000,6146300
2019-10-18,1.710000,3.980000,1.710000,1.900000,1.900000,67863700
2019-10-21,0.910000,1.270000,0.820000,1.080000,1.080000,37331700
2019-10-22,1.080000,1.170000,0.990000,1.160000,1.160000,9265400
2019-10-23,1.150000,1.260000,1.050000,1.100000,1.100000,7366900
2019-10-24,1.140000,1.150000,1.000000,1.010000,1.010000,6644100
2019-10-25,0.980000,1.000000,0.870000,0.890000,0.890000,6411500
2019-10-28,0.910000,0.920000,0.800000,0.810000,0.810000,3981100
2019-10-29,0.790000,0.800000,0.710000,0.750000,0.750000,3653700
2019-10-30,0.840000,0.960000,0.820000,0.850000,0.850000,8811400
