unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643115780,36561.0,36563.0,36561.0,36562.9,36562.9,0.83319873,11,2022-01-25 13:03:00,30464.161845117
1643115840,36562.9,36563.0,36526.3,36530.4,36557.6,2.94786097,20,2022-01-25 13:04:00,107686.540378488
1643115900,36540.7,36540.7,36515.5,36515.5,36533.4,0.38870103,7,2022-01-25 13:05:00,14193.612460965
1643115960,36509.5,36512.8,36491.8,36491.9,36500.7,0.11654901,10,2022-01-25 13:06:00,4253.094818019
1643116020,36491.9,36491.9,36460.1,36460.1,36487.0,2.44785929,32,2022-01-25 13:07:00,89249.194499329
1643116080,36460.1,36460.1,36450.0,36450.1,36454.0,0.96311713,30,2022-01-25 13:08:00,35105.715700213
1643116140,36450.1,36450.1,36384.4,36384.4,36397.9,2.32251312,37,2022-01-25 13:09:00,84503.246363328
1643116200,36378.4,36422.1,36378.3,36378.4,36390.6,3.20596668,29,2022-01-25 13:10:00,116627.938271712
1643116260,36378.4,36396.9,36378.4,36396.0,36386.2,0.43331676,12,2022-01-25 13:11:00,15770.99679696
1643116320,36386.7,36418.0,36386.7,36410.0,36406.6,0.86542467,9,2022-01-25 13:12:00,31510.112234700002
1643116380,36419.6,36427.2,36419.6,36427.2,36419.7,0.28053049,3,2022-01-25 13:13:00,10218.940265328
1643116440,36424.2,36448.5,36422.3,36448.5,36442.2,0.37888823,5,2022-01-25 13:14:00,13809.907651155
1643116500,36447.9,36447.9,36430.0,36438.8,36443.0,0.51041488,16,2022-01-25 13:15:00,18598.905729344002
1643116560,36427.6,36427.7,36402.6,36420.4,36418.6,2.83165375,19,2022-01-25 13:16:00,103129.96223650001
1643116620,36434.2,36546.9,36430.7,36525.3,36472.3,2.08228144,24,2022-01-25 13:17:00,76055.95428043201
1643116680,36525.3,36525.3,36469.7,36473.7,36483.8,1.95357024,16,2022-01-25 13:18:00,71253.934862688
1643116740,36476.9,36548.9,36476.8,36541.2,36484.7,1.52728339,21,2022-01-25 13:19:00,55808.767810667996
1643116800,36537.0,36570.0,36500.0,36560.3,36561.9,38.94079075,66,2022-01-25 13:20:00,1423686.992057225
1643116860,36560.0,36560.0,36480.9,36490.0,36537.5,38.86580079,67,2022-01-25 13:21:00,1418213.0708271
1643116920,36490.0,36490.0,36430.1,36430.1,36449.5,7.16415978,32,2022-01-25 13:22:00,260991.057201378
1643116980,36444.9,36493.9,36440.8,36490.0,36470.3,13.64290039,28,2022-01-25 13:23:00,497829.43523109995
1643117040,36490.1,36505.5,36490.1,36491.1,36490.3,5.13298198,11,2022-01-25 13:24:00,187308.158730378
1643117100,36491.5,36507.8,36399.9,36399.9,36417.5,1.27302281,33,2022-01-25 13:25:00,46337.902981719
1643117160,36409.5,36411.8,36408.7,36411.8,36408.9,5.30075030,17,2022-01-25 13:26:00,193009.85977354
1643117220,36411.8,36423.5,36371.3,36371.4,36409.0,0.39460640,32,2022-01-25 13:27:00,14352.387216960002
1643117280,36371.3,36371.3,36312.5,36324.7,36332.8,0.47692381,40,2022-01-25 13:28:00,17324.114321106998
1643117340,36339.1,36339.1,36331.0,36331.0,36331.9,0.67345237,10,2022-01-25 13:29:00,24467.19805447
1643117400,36328.3,36377.8,36320.3,36357.7,36358.7,0.57640507,16,2022-01-25 13:30:00,20956.762613539
1643117460,36351.8,36364.9,36339.6,36364.9,36350.4,0.10527105,12,2022-01-25 13:31:00,3828.1712061450003
1643117520,36366.4,36366.4,36358.9,36362.2,36365.6,0.00755314,4,2022-01-25 13:32:00,274.64878730799995
1643117580,36362.3,36371.9,36362.3,36367.1,36367.2,3.78972501,12,2022-01-25 13:33:00,137821.308411171
1643117640,36381.7,36396.9,36381.7,36395.8,36388.0,0.02992904,5,2022-01-25 13:34:00,1089.291354032
1643117700,36395.7,36428.3,36395.7,36410.1,36419.6,4.63251992,26,2022-01-25 13:35:00,168670.513539192
1643117760,36405.1,36423.1,36403.3,36423.1,36415.0,0.04140242,3,2022-01-25 13:36:00,1508.004483902
1643117820,36428.7,36445.0,36420.0,36420.0,36430.1,34.37234566,59,2022-01-25 13:37:00,1251840.8289372001
1643117880,36420.0,36420.0,36407.2,36407.2,36414.8,0.03087739,6,2022-01-25 13:38:00,1124.159313208
1643117940,36420.0,36420.0,36419.9,36419.9,36419.9,0.58438910,8,2022-01-25 13:39:00,21283.39258309
1643118000,36419.9,36420.0,36411.2,36411.2,36419.8,3.54765389,10,2022-01-25 13:40:00,129174.33531956798
1643118060,36411.2,36411.3,36411.2,36411.2,36411.2,0.55395131,11,2022-01-25 13:41:00,20170.031938671997
1643118120,36411.3,36411.3,36411.2,36411.2,36411.2,0.00844011,5,2022-01-25 13:42:00,307.314533232
1643118180,36411.3,36420.0,36411.3,36420.0,36413.2,0.09025446,6,2022-01-25 13:43:00,3287.0674332
1643118240,36420.0,36445.1,36419.9,36442.7,36420.2,16.56245052,60,2022-01-25 13:44:00,603580.4155652039
1643118300,36442.8,36445.1,36437.0,36437.5,36437.9,0.29263414,11,2022-01-25 13:45:00,10662.85647625
1643118360,36438.7,36461.0,36438.7,36461.0,36459.4,0.22947773,9,2022-01-25 13:46:00,8366.987513529999
1643118420,36461.0,36461.0,36461.0,36461.0,36461.0,0.00590916,5,2022-01-25 13:47:00,215.45388276
1643118480,36461.0,36462.1,36450.0,36450.0,36454.2,0.53995858,13,2022-01-25 13:48:00,19681.490241
1643118540,36447.8,36461.9,36443.8,36452.6,36450.6,0.06750834,9,2022-01-25 13:49:00,2460.8545146839997
1643118600,36448.7,36448.7,36354.1,36434.8,36391.1,50.93152783,85,2022-01-25 13:50:00,1855680.030180484
1643118660,36460.8,36460.8,36456.1,36456.2,36457.2,0.01539055,3,2022-01-25 13:51:00,561.0809689099999
1643118720,36456.2,36456.2,36414.3,36426.9,36455.2,0.56159414,15,2022-01-25 13:52:00,20457.133578366
1643118780,36426.9,36426.9,36386.0,36387.5,36401.7,0.44425384,16,2022-01-25 13:53:00,16165.286603
1643118840,36391.6,36392.6,36386.1,36386.1,36387.1,0.15452221,5,2022-01-25 13:54:00,5622.460585280999
1643118900,36382.1,36392.6,36380.5,36392.6,36385.2,0.12576135,13,2022-01-25 13:55:00,4576.782506009999
1643118960,36392.6,36445.6,36392.6,36445.6,36403.0,0.27041476,7,2022-01-25 13:56:00,9855.428177056
1643119020,36461.3,36500.5,36459.9,36477.5,36491.3,2.12964066,27,2022-01-25 13:57:00,77683.96717515001
1643119080,36483.0,36534.7,36483.0,36534.7,36502.1,0.33686459,19,2022-01-25 13:58:00,12307.246736273
1643119140,36534.7,36534.7,36534.7,36534.7,36534.7,0.11698409,3,2022-01-25 13:59:00,4273.978632922999
1643119200,36534.7,36534.7,36499.7,36499.7,36503.4,0.48834810,11,2022-01-25 14:00:00,17824.559145569998
1643119260,36481.2,36481.2,36426.7,36426.7,36456.0,0.46884705,17,2022-01-25 14:01:00,17078.550836234997
1643119320,36426.3,36426.3,36420.7,36424.5,36422.4,0.08172057,11,2022-01-25 14:02:00,2976.6309019650002
1643119380,36424.5,36469.7,36424.5,36466.6,36443.4,0.06296516,7,2022-01-25 14:03:00,2296.125303656
1643119440,36466.7,36500.0,36466.7,36500.0,36494.4,0.26810779,9,2022-01-25 14:04:00,9785.934335
1643119500,36500.0,36565.3,36499.9,36565.3,36527.2,2.36282610,24,2022-01-25 14:05:00,86397.44519433001
1643119560,36565.4,36574.4,36547.6,36547.6,36563.2,1.14187215,15,2022-01-25 14:06:00,41732.686589339995
1643119620,36564.1,36583.5,36558.9,36583.5,36565.6,0.96732735,6,2022-01-25 14:07:00,35388.220108725
1643119680,36592.5,36607.2,36581.7,36581.7,36593.2,2.49046143,22,2022-01-25 14:08:00,91105.31289383098
1643119740,36571.1,36613.4,36571.1,36613.4,36571.7,0.60942935,9,2022-01-25 14:09:00,22313.28056329
1643119800,36611.8,36624.3,36598.6,36598.6,36604.8,0.36874968,11,2022-01-25 14:10:00,13495.722038448
1643119860,36593.2,36593.2,36528.7,36564.3,36549.1,1.76951984,32,2022-01-25 14:11:00,64701.254285712006
1643119920,36564.2,36627.4,36564.2,36626.3,36598.0,1.53286239,20,2022-01-25 14:12:00,56143.077754857004
1643119980,36633.0,36652.7,36605.6,36606.7,36645.7,1.32461043,33,2022-01-25 14:13:00,48489.61662788099
1643120040,36631.1,36647.4,36631.1,36647.4,36643.0,0.58619389,9,2022-01-25 14:14:00,21482.481964386
1643120100,36654.4,36661.7,36647.3,36660.1,36648.0,0.53840704,11,2022-01-25 14:15:00,19738.055927103997
1643120160,36661.7,36693.3,36661.7,36693.2,36678.1,8.20098880,38,2022-01-25 14:16:00,300920.52223615994
1643120220,36698.7,36750.0,36698.7,36747.7,36734.4,2.39792859,38,2022-01-25 14:17:00,88118.36044674298
1643120280,36747.7,36747.7,36698.6,36703.5,36700.2,1.07892058,19,2022-01-25 14:18:00,39600.161508029996
1643120340,36710.6,36741.2,36710.6,36721.7,36721.3,1.90157465,22,2022-01-25 14:19:00,69829.05382490499
1643120400,36722.5,36734.7,36722.0,36734.7,36727.6,0.05848936,9,2022-01-25 14:20:00,2148.5890927919995
1643120460,36747.9,36800.6,36744.7,36800.6,36754.5,0.67206484,28,2022-01-25 14:21:00,24732.389350904
1643120520,36800.8,36905.9,36800.0,36849.7,36855.7,19.81544748,101,2022-01-25 14:22:00,730193.295003756
1643120580,36803.9,36820.4,36803.9,36820.4,36814.2,1.71171240,28,2022-01-25 14:23:00,63025.93525296
1643120640,36824.0,36824.0,36800.0,36822.5,36818.4,2.22461101,24,2022-01-25 14:24:00,81915.738915725
1643120700,36823.4,36823.4,36764.1,36794.3,36780.8,1.31775559,34,2022-01-25 14:25:00,48485.894505137
1643120760,36766.1,36767.2,36736.3,36736.3,36764.0,0.81121789,9,2022-01-25 14:26:00,29801.143772407002
1643120820,36735.7,36735.7,36675.8,36675.8,36708.1,0.41046530,21,2022-01-25 14:27:00,15054.14324974
1643120880,36668.1,36674.5,36647.3,36647.3,36667.6,1.04851163,20,2022-01-25 14:28:00,38425.120258099
1643120940,36647.3,36647.3,36600.0,36634.2,36614.0,4.32890243,32,2022-01-25 14:29:00,158585.877401106
1643121000,36616.2,36668.5,36572.1,36597.5,36604.8,7.33535786,44,2022-01-25 14:30:00,268455.75928135
1643121060,36664.6,36668.5,36644.6,36644.6,36668.1,0.42011130,11,2022-01-25 14:31:00,15394.81054398
1643121120,36644.6,36644.6,36500.0,36500.0,36614.8,0.93662883,31,2022-01-25 14:32:00,34186.952294999996
1643121180,36500.1,36628.8,36500.1,36628.8,36524.6,1.31478060,18,2022-01-25 14:33:00,48158.835641280006
1643121240,36643.0,36648.3,36592.3,36648.3,36625.4,1.86468127,23,2022-01-25 14:34:00,68337.398587341
1643121300,36591.3,36709.2,36591.3,36702.4,36682.2,2.76558505,33,2022-01-25 14:35:00,101503.60873912
1643121360,36713.1,36995.3,36713.1,36963.3,36866.9,15.76436436,200,2022-01-25 14:36:00,582702.9291479881
1643121420,36959.9,37143.0,36959.9,37078.2,37086.2,6.38492733,171,2022-01-25 14:37:00,236741.612527206
1643121480,37026.7,37060.9,37000.0,37026.5,37043.2,8.33350815,37,2022-01-25 14:38:00,308560.639515975
1643121540,37022.7,37028.8,36990.0,36990.1,37000.2,2.01454806,32,2022-01-25 14:39:00,74518.334194206
1643121600,36990.0,37100.9,36925.3,36946.3,37002.9,4.88000486,51,2022-01-25 14:40:00,180298.12355901801
1643121660,36920.7,36920.7,36813.6,36862.6,36846.0,4.45930425,40,2022-01-25 14:41:00,164381.54884605
1643121720,36843.9,36913.8,36830.0,36840.8,36872.3,5.22037427,44,2022-01-25 14:42:00,192322.764406216
1643121780,36830.0,36875.7,36760.6,36823.4,36812.2,2.08958375,26,2022-01-25 14:43:00,76945.57825975001
1643121840,36831.2,36869.0,36800.1,36834.8,36826.1,1.26984369,17,2022-01-25 14:44:00,46774.438352412006
1643121900,36844.7,36853.0,36723.8,36742.2,36776.7,2.16127170,35,2022-01-25 14:45:00,79409.87705573998
1643121960,36725.0,36767.7,36672.2,36672.6,36743.2,1.13731825,26,2022-01-25 14:46:00,41708.41725495
1643122020,36672.7,36672.7,36642.4,36651.6,36666.2,0.32382840,17,2022-01-25 14:47:00,11868.82898544
1643122080,36642.4,36651.3,36415.5,36651.3,36474.4,111.29926895,144,2022-01-25 14:48:00,4079262.896067135
1643122140,36618.5,36634.3,36537.0,36542.5,36598.3,4.37780037,35,2022-01-25 14:49:00,159975.770020725
1643122200,36542.5,36542.8,36518.2,36542.5,36542.3,0.97856652,15,2022-01-25 14:50:00,35759.2670571
1643122260,36542.6,36561.5,36479.9,36513.1,36498.0,5.39525079,36,2022-01-25 14:51:00,196997.331620349
1643122320,36513.1,36548.2,36479.3,36479.3,36538.1,1.20962023,18,2022-01-25 14:52:00,44126.09925623901
1643122380,36450.0,36463.9,36371.5,36372.7,36431.5,3.55853484,73,2022-01-25 14:53:00,129433.520174868
1643122440,36371.4,36377.4,36320.4,36361.6,36342.5,2.77630540,70,2022-01-25 14:54:00,100950.90643264
1643122500,36361.4,36452.5,36361.4,36416.1,36407.0,0.07102035,13,2022-01-25 14:55:00,2586.284167635
1643122560,36415.6,36437.8,36383.8,36409.4,36402.6,2.52095155,28,2022-01-25 14:56:00,91786.33336457
1643122620,36449.9,36463.4,36332.0,36407.0,36366.3,54.49612594,71,2022-01-25 14:57:00,1984040.45709758
